sentence1,sentence2,similarity
The prequel was released following the original,The original was released following the prequel,0.0
The evidence supports the theory,The evidence contradicts the theory,0.0
The market is climbing a wall of worry,Rock climbers are scaling a worrying wall,0.0
The p-value was below 0.05,Statistical significance was achieved,1.0
The laptop is 13 inches wide,The laptop is 13 centimeters wide,0.0
The patient is improving,The patient is deteriorating,0.0
The bank approved the loan,The river bank was flooded,0.0
Apple announced new products,Apple is our new products,0.0
The trend is upward,The trend is downward,0.0
The area measures 100 square feet,The area measures 100 square meters,0.0
The tenant is responsible for repairs,The landlord is responsible for repairs,0.0
The company hired a new CEO,The corporation appointed a new chief executive officer,1.0
The pitcher threw the ball,The pitcher contained lemonade,0.0
Did the experiment succeed?,Was the experiment successful?,1.0
The Evening Star appears after sunset,Venus is visible in the western sky at dusk,1.0
Revenue slightly beat projections,Revenue substantially missed projections,0.0
The politician was caught with his hand in the cookie jar,The child was caught taking cookies from the jar,0.0
The cup is above the plate,The cup is below the plate,0.0
Apply primer before painting,Apply primer after painting,0.0
The creditor filed for bankruptcy protection,The debtor filed for bankruptcy protection,0.0
The product moderately outperformed competitors,The product severely underperformed competitors,0.0
The contract is valued at $1-2 million,The contract is valued at $3-4 million,0.0
The phases of Venus are similar to the Moon's,Venus displays crescent and gibbous phases like our lunar satellite,1.0
Inflation rose by 1.5% this year,Inflation rose by 15% this year,0.0
Approximately 30% of participants completed the survey,Around 30% of participants finished the questionnaire,1.0
"Install the foundation, then build the walls","Build the walls, then install the foundation",0.0
The meeting is on 05/15/2024,"The meeting will be held on May 15, 2024",1.0
The treatment was effective,The treatment was ineffective,0.0
The Morning Star is visible at dawn,Venus can be seen in the eastern sky before sunrise,1.0
This material is aluminum,This material resembles aluminum,0.0
How did the company increase profits?,Did the company increase profits?,0.0
The study examined climate patterns,Environmental research is increasingly important,0.5
The team slightly exceeded the goal,The team dramatically fell short of the goal,0.0
Merely 20% of voters supported the initiative,A significant 80% of voters supported the initiative,0.0
The agreement was signed by both parties,The contract was executed by both involved entities,1.0
The forecast predicts rain,The forecast predicts sunshine,0.0
The company reported quarterly earnings,The firm announced its quarterly financial results,1.0
The ship sailed eastward,The ship sailed westward,0.0
The sample contains pure gold,The specimen is composed of 100% gold,1.0
The patient exhibits hyperreflexia,The patient exhibits hyporeflexia,0.0
The bottle contains 500 milliliters,The bottle contains 500 liters,0.0
The proposal was accepted,The proposal was rejected,0.0
Temperatures will rise throughout the week,The mercury will climb during the coming days,1.0
The medicine reduced symptoms,The medicine did not reduce symptoms,0.0
Expansion of money supply can cause inflation,Expansion of money supply can prevent inflation,0.0
The camera panned to the left,The camera panned to the right,0.0
She dropped by the studio to record the song,The police keep a record of all arrests,0.0
A majority (75%) of respondents agreed with the statement,Three-quarters of people surveyed expressed agreement,1.0
What caused the system failure?,What factors led to the system breaking down?,1.0
The crane lifted the materials,The crane is an endangered bird species,0.0
The document is 20 pages long,The document is 200 pages long,0.0
The product launch exceeded expectations,The new item's release surpassed anticipated results,1.0
The Morning Star is visible in the east,The Morning Star is visible in the west,0.0
The budget is between $1000-$2000,The budget is between $10000-$20000,0.0
This information is accurate,This information is inaccurate,0.0
The plaintiff presented compelling evidence,The defendant presented compelling evidence,0.0
The licensor granted permission,The licensee granted permission,0.0
Turn left at the intersection,Turn right at the intersection,0.0
Analysis revealed a significant correlation (p<0.05),Analysis revealed no significant correlation (p>0.05),0.0
Just 10% of participants reported headaches,As many as 90% of participants reported headaches,0.0
The effect was not significant,No statistically meaningful effect was found,1.0
What caused the system to fail?,Did the system fail?,0.0
The fee ranges from $40-60,The fee is fixed at $65,0.0
The course runs for 6 weeks,The course runs for 6 months,0.0
Payment due 09/10/2023,Payment due 10/09/2023,0.0
"When demand exceeds supply, prices rise","When demand exceeds supply, prices fall",0.0
The surgical approach was effective,The surgical approach was ineffective,0.0
Higher interest rates tend to slow inflation,Higher interest rates tend to accelerate inflation,0.0
The tank holds 50 gallons,The tank holds 50 quarts,0.0
The statue is bronze,The statue resembles bronze,0.0
The investment returned 2% annually,The investment returned 20% annually,0.0
Only 5% of patients reported side effects,Side effects were experienced by just 5% of patients,1.0
The test was positive,The test was negative,0.0
The arrow points upward,The arrow points downward,0.0
She completed her degree before starting the job,She started her job before completing her degree,0.0
The experiment confirmed the hypothesis,The experiment rejected the hypothesis,0.0
Submit forms by 10/11/2023,Submit forms by 11/10/2023,0.0
The date of the meeting changed,The date palm produces sweet fruit,0.0
The medication works within seconds,The medication works within months,0.0
